extreme_type,rank,player_name,signing_year,previous_team,signing_team,retention_status,tier,trajectory,captaincy_status,aav_cap_share,post_signing_games_played,post_signing_toi_total_minutes,partial_delivery_flag,overpay_residual,material_cap_share_floor,material_games_floor,material_toi_floor
overpay,1,Brendan Smith,2017,DET,NYR,new_team,middle,declining,none,0.058,169,2407.29985,TRUE,-6.1335633223692465,0.03,82,1000
overpay,2,Marc-Edouard Vlasic,2017,SJS,SJS,same_team,top,rising,none,0.09333333333333334,450,8456.883031666666,TRUE,-6.078610329324974,0.03,82,1000
overpay,3,Dmitry Orlov,2023,WSH,CAR,new_team,top,declining,none,0.09281437125748504,147,2701.7331733333335,FALSE,-5.83617449002071,0.03,82,1000
overpay,4,Corey Perry,2013,ANA,ANA,same_team,top,stable,none,0.13413685847589424,471,8199.399676666666,TRUE,-5.819095384670266,0.03,82,1000
overpay,5,Dougie Hamilton,2021,CAR,NJD,new_team,NA,rising,none,0.11042944785276074,227,4767.933215,TRUE,-5.284304161387254,0.03,82,1000
overpay,6,Erik Karlsson,2019,SJS,SJS,same_team,top,declining,none,0.1411042944785276,342,8315.74987,TRUE,-5.247851102487839,0.03,82,1000
overpay,7,Jeff Skinner,2019,BUF,BUF,same_team,top,stable,none,0.11042944785276074,352,5653.199776666666,TRUE,-4.904804886879534,0.03,82,1000
overpay,8,Evgeni Malkin,2013,PIT,PIT,same_team,top,stable,none,0.14774494556765164,449,8604.933006666666,TRUE,-4.851955158087247,0.03,82,1000
overpay,9,John Tavares,2018,NYI,TOR,new_team,top,stable,C,0.13836477987421383,447,8223.899798333334,TRUE,-4.79760177758514,0.03,82,1000
overpay,10,Nicklas Backstrom,2020,WSH,WSH,same_team,top,rising,none,0.11288343558282209,94,1596.7833216666666,TRUE,-4.71837569360757,0.03,82,1000
overpay,11,Matt Martin,2016,NYI,TOR,new_team,fringe,stable,none,0.03424657534246575,254,2468.3332533333332,FALSE,-4.538963629304618,0.03,82,1000
overpay,12,Jonathan Huberdeau,2022,FLA,CGY,new_team,top,stable,none,0.12727272727272726,229,4076.31644,TRUE,-4.404614494674494,0.03,82,1000
overpay,13,William Nylander,2018,TOR,TOR,same_team,top,stable,none,0.12928022641509437,367,6709.449685,TRUE,-4.355523221065663,0.03,82,1000
overpay,14,Tyler Seguin,2018,DAL,DAL,same_team,top,declining,none,0.1238993710691824,395,7162.283158333334,TRUE,-4.130313637156998,0.03,82,1000
overpay,15,Brendan Gallagher,2020,MTL,MTL,same_team,top,rising,none,0.07975460122699386,239,3384.6664866666665,TRUE,-3.9347303305568584,0.03,82,1000
overpay,16,Justin Holl,2023,TOR,DET,new_team,top,rising,none,0.0407185628742515,100,1494.0499600000003,TRUE,-3.850972929092878,0.03,82,1000
overpay,17,Ryan Reaves,2018,PIT,VGK,new_team,fringe,stable,none,0.03490566037735849,151,1589.93322,FALSE,-3.774023604136513,0.03,82,1000
overpay,18,Artemi Panarin,2019,CBJ,NYR,new_team,top,rising,none,0.14285714110429448,377,7485.316395,TRUE,-3.75505636382929,0.03,82,1000
overpay,19,Ryan Johansen,2017,NSH,NSH,same_team,top,stable,none,0.10666666666666667,424,7224.499731666666,TRUE,-3.6349383017483983,0.03,82,1000
overpay,20,Pierre-Luc Dubois,2023,WPG,WPG,same_team,top,rising,none,0.10179640718562874,152,2495.11657,TRUE,-3.59189999927176,0.03,82,1000
overpay,21,Patrik Laine,2022,CBJ,CBJ,same_team,top,rising,none,0.10545454545454544,94,1618.1332783333332,TRUE,-3.5617473655632033,0.03,82,1000
overpay,22,Ryan Graves,2023,NJD,PIT,new_team,top,rising,none,0.05389221556886228,121,2062.466586666667,TRUE,-3.4236048755344015,0.03,82,1000
overpay,23,Drew Doughty,2018,LAK,LAK,same_team,top,declining,none,0.13836477987421383,372,9674.649773333333,TRUE,-3.369145062884307,0.03,82,1000
overpay,24,Patrick Kane,2014,CHI,CHI,same_team,top,stable,none,0.15217391304347827,536,11311.916235,TRUE,-3.3556765161671187,0.03,82,1000
overpay,25,Jacob Trouba,2019,WPG,NYR,new_team,top,stable,none,0.098159509202454,371,8021.649623333334,TRUE,-3.315607251613688,0.03,82,1000
discount,1,TJ Brodie,2013,CGY,CGY,same_team,middle,insufficient_history,none,0.03304821150855365,162,3990.93318,FALSE,6.631567706024157,0.03,82,1000
discount,2,Valeri Nichushkin,2020,COL,COL,same_team,middle,insufficient_history,none,0.03067484662576687,62,1179.61665,TRUE,5.110461776226106,0.03,82,1000
discount,3,Neal Pionk,2019,NYR,WPG,new_team,top,insufficient_history,none,0.03680981595092025,71,1659.6999050000002,TRUE,4.972529963920813,0.03,82,1000
discount,4,Darnell Nurse,2018,EDM,EDM,same_team,top,stable,none,0.04025157232704402,153,3618.53331,FALSE,4.8681513227725866,0.03,82,1000
discount,5,Robert Thomas,2021,STL,STL,same_team,NA,rising,none,0.0343558282208589,145,2763.749858333333,FALSE,4.824323232800715,0.03,82,1000
discount,6,Devon Toews,2020,NYI,COL,new_team,top,insufficient_history,none,0.05030674846625767,228,5604.04998,TRUE,4.797145652058774,0.03,82,1000
discount,7,Chandler Stephenson,2020,WSH,VGK,new_team,middle,rising,none,0.03374233128834356,235,4452.683091666666,TRUE,4.758187990038278,0.03,82,1000
discount,8,Cody Ceci,2016,OTT,OTT,same_team,middle,rising,none,0.03835616438356164,161,3747.033131666667,FALSE,4.704408010451633,0.03,82,1000
discount,9,Sam Reinhart,2018,BUF,BUF,same_team,top,rising,none,0.04591194968553459,151,2977.8999283333333,FALSE,4.559336832494248,0.03,82,1000
discount,10,Roman Josi,2013,NSH,NSH,same_team,top,insufficient_history,none,0.06220839813374806,532,13593.716221666666,FALSE,4.449962241112473,0.03,82,1000
discount,11,Gustav Forsling,2021,FLA,FLA,same_team,NA,declining,none,0.03271984049079755,232,5177.816435000001,FALSE,4.298145499249923,0.03,82,1000
discount,12,Mark Stone,2015,OTT,OTT,same_team,top,rising,C,0.04901960784313725,204,4025.4165666666668,FALSE,4.280062357739013,0.03,82,1000
discount,13,Matt Duchene,2012,COL,COL,same_team,top,insufficient_history,none,0.04985754985754986,118,2296.5332799999996,FALSE,4.133530291218044,0.03,82,1000
discount,14,Jacob Trouba,2016,WPG,WPG,same_team,top,rising,none,0.04532635616438356,115,2702.183308333333,FALSE,4.1221253377659615,0.03,82,1000
discount,15,Andrew Copp,2021,WPG,WPG,same_team,NA,rising,none,0.04466257668711657,72,1380.8666399999995,FALSE,4.053010977876292,0.03,82,1000
discount,16,Zach Hyman,2017,TOR,TOR,same_team,top,insufficient_history,none,0.03,204,3623.7999616666666,TRUE,4.052563898076318,0.03,82,1000
discount,17,Thomas Harley,2024,DAL,DAL,same_team,top,rising,none,0.04545454545454545,68,1587.5499866666664,TRUE,4.024221625974285,0.03,82,1000
discount,18,Ben Chiarot,2019,WPG,MTL,new_team,middle,rising,none,0.04294478527607362,143,3287.366556666667,TRUE,3.9380576757006978,0.03,82,1000
discount,19,Ryan Ellis,2014,NSH,NSH,same_team,fringe,rising,none,0.03623188405797101,334,7449.649646666667,FALSE,3.8992751855164265,0.03,82,1000
discount,20,Josh Morrissey,2018,WPG,WPG,same_team,top,rising,none,0.03962264150943396,124,2801.966491666667,FALSE,3.885257284290333,0.03,82,1000
discount,21,Artturi Lehkonen,2022,MTL,COL,new_team,middle,stable,none,0.05454545454545454,168,3359.5998133333333,TRUE,3.8834005653261094,0.03,82,1000
discount,22,Mathew Dumba,2016,MIN,MIN,same_team,middle,rising,none,0.03493150684931507,158,3497.583233333333,FALSE,3.8664180862959654,0.03,82,1000
discount,23,Zach Werenski,2019,CBJ,CBJ,same_team,top,rising,none,0.06134969325153374,131,3255.8832316666667,TRUE,3.811038311040353,0.03,82,1000
discount,24,Tyson Barrie,2014,COL,COL,same_team,middle,rising,none,0.03768115942028986,158,3518.799923333333,FALSE,3.7863814118740855,0.03,82,1000
discount,25,Kirill Marchenko,2024,CBJ,CBJ,same_team,middle,insufficient_history,none,0.04375,67,1260.8166083333333,TRUE,3.771413026489397,0.03,82,1000
