extreme_type,rank,player_name,signing_year,retention_status,tier,trajectory,captaincy_status,aav_cap_share,post_signing_games_played,post_signing_toi_total_minutes,partial_delivery_flag,overpay_residual
overpay,1,Riley Stillman,2024,new_team,NA,declining,none,0.00880681818181818,3,9.83333,FALSE,-12.150189623958177
overpay,2,Guillaume Brisebois,2021,same_team,NA,insufficient_history,none,0.00920245398773006,1,4.216666666666667,FALSE,-11.253339322421994
overpay,3,Shane Bowers,2022,unknown,NA,insufficient_history,none,0.00909090909090909,1,1.7666666666666666,FALSE,-10.281719188840174
overpay,4,Kurtis MacDermid,2024,new_team,fringe,rising,none,0.01306818181818181,22,124.66666666666669,TRUE,-10.21410606776448
overpay,5,Kurtis MacDermid,2022,same_team,fringe,rising,none,0.01196969696969697,89,584.0999283333333,FALSE,-9.181470128916631
overpay,6,Kurtis MacDermid,2020,same_team,fringe,declining,none,0.0107361963190184,58,429.14992666666666,TRUE,-8.233842602810356
overpay,7,Maxime Lajoie,2022,same_team,fringe,declining,none,0.00909090909090909,3,23.566665,FALSE,-7.602598386878598
overpay,8,Bokondji Imama,2021,unknown,NA,insufficient_history,none,0.00920245398773006,4,18.083333333333332,FALSE,-7.537202276014683
overpay,9,Gustav Olofsson,2019,new_team,NA,rising,none,0.00858895705521472,3,24.316665,FALSE,-7.299261676933314
overpay,10,Hayden Hodgson,2022,same_team,middle,insufficient_history,none,0.00909090909090909,1,4.766666666666667,FALSE,-7.281719188840175
overpay,11,Derrick Pouliot,2019,new_team,middle,rising,none,0.00858895705521472,2,16.666666666666668,FALSE,-7.071483343599981
overpay,12,Jeremy Davies,2022,new_team,fringe,insufficient_history,none,0.00909090909090909,1,8.55,FALSE,-6.908153386878597
overpay,13,Justin Bailey,2019,new_team,fringe,stable,none,0.00920245398773006,2,10.65,FALSE,-6.733035609348016
overpay,14,Bokondji Imama,2024,new_team,NA,rising,none,0.00880681818181818,15,84.96665,FALSE,-6.3593658053592685
overpay,15,Justin Bailey,2018,same_team,fringe,declining,none,0.00899371069182389,11,63.08333166666666,FALSE,-6.305128884471027
overpay,16,Dylan McIlrath,2016,same_team,fringe,rising,none,0.01095890410958904,6,57.10000000000001,FALSE,-6.139977216127022
overpay,17,Brendan Smith,2017,new_team,middle,declining,none,0.058,169,2407.29985,TRUE,-6.1335633223692465
overpay,18,Marc-Edouard Vlasic,2017,same_team,top,rising,none,0.09333333333333334,450,8456.883031666666,TRUE,-6.078610329324974
overpay,19,Dmitry Orlov,2023,new_team,top,declining,none,0.09281437125748504,147,2701.7331733333335,FALSE,-5.83617449002071
overpay,20,Corey Perry,2013,same_team,top,stable,none,0.13413685847589424,471,8199.399676666666,TRUE,-5.819095384670266
overpay,21,Jesperi Kotkaniemi,2021,new_team,NA,declining,none,0.07484705521472393,66,793.5332900000001,FALSE,-5.713721229764175
overpay,22,Dennis Gilbert,2024,new_team,fringe,insufficient_history,none,0.009375,26,258.06664,FALSE,-5.562700483132351
overpay,23,Anton Blidh,2022,new_team,fringe,declining,none,0.00909090909090909,14,92.11666333333334,FALSE,-5.468624188840175
overpay,24,Drake Caggiula,2022,new_team,middle,declining,none,0.00909090909090909,4,26.4,FALSE,-5.448385855506842
overpay,25,Lucas Carlsson,2022,same_team,fringe,insufficient_history,none,0.00969696969696969,2,20.183333333333337,FALSE,-5.430885858886603
discount,1,Brock Faber,2023,same_team,top,insufficient_history,none,0.01207584431137724,149,3747.583303333333,TRUE,9.396093305411622
discount,2,Quinn Hughes,2019,same_team,middle,insufficient_history,none,0.01968303067484662,144,3407.2666266666665,TRUE,6.984389493662114
discount,3,TJ Brodie,2013,same_team,middle,insufficient_history,none,0.03304821150855365,162,3990.93318,FALSE,6.631567706024157
discount,4,David Savard,2014,same_team,middle,declining,none,0.01884057971014493,147,3387.6165533333333,FALSE,6.564092969224472
discount,5,Jonathan Drouin,2023,new_team,middle,rising,none,0.00988023952095808,79,1436.6333016666667,FALSE,6.06856080156817
discount,6,Owen Power,2022,same_team,top,insufficient_history,none,0.02242424242424242,224,5120.283066666667,FALSE,5.9358216733896825
discount,7,Mikey Anderson,2022,same_team,top,insufficient_history,none,0.01212121212121212,77,1667.8166633333335,FALSE,5.879807586414701
discount,8,Esa Lindell,2017,same_team,top,insufficient_history,none,0.02933333333333333,162,3761.0665833333333,FALSE,5.593498714720621
discount,9,Shane Pinto,2024,same_team,top,rising,none,0.00880681818181818,57,1002.683295,FALSE,5.5671258613073995
discount,10,Tage Thompson,2020,same_team,fringe,stable,none,0.01717791411042945,156,2844.6332199999997,TRUE,5.4868353243414205
discount,11,Dysin Mayo,2021,unknown,NA,insufficient_history,none,0.00920245398773006,67,1401.3666400000002,FALSE,5.445914010911343
discount,12,Brock Boeser,2017,same_team,top,insufficient_history,none,0.01988889333333333,188,3465.4330583333335,FALSE,5.426868950246892
discount,13,Erik Gustafsson,2018,same_team,middle,insufficient_history,none,0.01509433962264151,145,3129.3498383333335,FALSE,5.386885616815672
discount,14,Philipp Kurashev,2022,same_team,middle,insufficient_history,none,0.00909090909090909,70,1219.43325,FALSE,5.372089144493158
discount,15,Brandon Hagel,2021,same_team,NA,insufficient_history,none,0.01840490797546012,240,4348.849775,FALSE,5.232364698755179
discount,16,Ryan Pulock,2018,same_team,middle,declining,none,0.02515723270440251,150,3357.5498,FALSE,5.220391065865101
discount,17,Alex Vlasic,2022,same_team,fringe,insufficient_history,none,0.01808081212121212,153,3421.3665283333335,FALSE,5.137390626786143
