contract_id,walk_year_position_group,walk_year_toi_per_game,walk_year_toi_total,walk_year_games,walk_year_goals,walk_year_assists,walk_year_points,walk_year_points_per_game,post_signing_seasons_observed,post_signing_avg_toi_per_game,post_signing_avg_points_per_game,contract_complete,post_signing_toi_change,post_signing_points_change,trajectory_prior_seasons_found,trajectory_toi_slope,trajectory_points_slope,trajectory,tier_toi_percentile,tier
1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,FALSE,NA,NA,NA,NA,NA,insufficient_history,NA,NA
5,defense,26.50527333333334,2093.916593333334,79,7,39,46,0.5822784810126582,12,25.18781388888889,0.4833319284207407,FALSE,-1.3174594444444487,-0.09894655259191754,1,NA,NA,insufficient_history,0.9932659932659933,top
6,NA,NA,NA,NA,NA,NA,NA,NA,4,20.718640416666666,0.27074864498644985,TRUE,NA,NA,3,-1.0687475000003537,0.02090301003345839,declining,NA,NA
7,defense,18.939836666666668,1553.0666066666668,82,2,15,17,0.2073170731707317,1,19.899768333333334,0.18055555555555555,TRUE,0.959931666666666,-0.026761517615176145,2,-3.2760166666654142,-0.08536585365850423,declining,0.5100401606425703,middle
8,defense,25.86402333333333,2120.849913333333,82,27,48,75,0.9146341463414634,7,24.49688880952381,0.7608262817322051,FALSE,-1.3671345238095185,-0.15380786460925833,3,3.8370116666678915,0.032520325203260314,rising,0.9802631578947368,top
9,forward,19.06969666666667,839.0666533333334,44,15,21,36,0.8181818181818182,7,17.04702095238095,0.6595461098077059,FALSE,-2.022675714285718,-0.15863570837411234,2,0.15950499999993958,-0.08841463414630785,stable,0.9051094890510949,top
10,forward,14.822579999999999,459.49997999999994,31,6,4,10,0.3225806451612903,1,13.723975,0.3684210526315789,TRUE,-1.0986049999999992,0.04584040747028861,3,0.03463583333333769,-0.03297835795259552,stable,0.6293103448275862,middle
11,forward,13.723975,782.266575,57,5,16,21,0.3684210526315789,0,NA,NA,FALSE,NA,NA,3,-1.4466366666671555,-0.16188040912672944,declining,0.5258620689655172,middle
12,NA,NA,NA,NA,NA,NA,NA,NA,2,12.5374725,0.39822342667871125,TRUE,NA,NA,3,-2.0265100000004317,-0.16085989621944485,declining,NA,NA
13,forward,11.562345,936.549945,81,12,13,25,0.30864197530864196,1,13.382098333333333,0.4074074074074074,TRUE,1.819753333333333,0.09876543209876543,2,-0.10568749999998715,0.05969191270859389,stable,0.31655844155844154,fringe
14,forward,13.382098333333333,722.63331,54,12,10,22,0.4074074074074074,1,11.664491666666667,0.3333333333333333,TRUE,-1.7176066666666667,-0.07407407407407407,2,-1.9502549999992589,-0.17916290274007043,declining,0.36525612472160357,middle
15,forward,13.382098333333333,722.63331,54,12,10,22,0.4074074074074074,1,11.664491666666667,0.3333333333333333,TRUE,-1.7176066666666667,-0.07407407407407407,2,-1.9502549999992589,-0.17916290274007043,declining,0.36525612472160357,middle
16,defense,26.16111,2040.56658,78,19,30,49,0.6282051282051282,8,25.308943958333334,0.5999526435662402,FALSE,-0.852166041666667,-0.028252484638887965,1,NA,NA,insufficient_history,0.9865319865319865,top
17,NA,NA,NA,NA,NA,NA,NA,NA,4,19.439003749999998,1.027901457956079,FALSE,NA,NA,3,0.260075833333352,-0.03784074605453523,stable,NA,NA
18,forward,19.70268666666667,610.7832866666668,31,9,24,33,1.064516129032258,7,19.19139738095238,1.150573609589932,FALSE,-0.5112892857142874,0.08605748055767393,2,0.08827083333330009,0.15203980099496736,stable,0.9470802919708029,top
19,forward,18.329673333333336,751.5166066666668,41,20,22,42,1.024390243902439,3,18.355639999999998,0.8570679255179648,FALSE,0.02596666666666181,-0.1673223183844742,2,0.7172916666667767,0.28663101604282293,rising,0.8799392097264438,top
20,forward,18.471968333333333,406.38330333333334,22,8,29,37,1.6818181818181819,11,20.50439606060606,1.1991855022036806,FALSE,2.032427727272726,-0.4826326796145013,1,NA,NA,insufficient_history,0.853781512605042,top
21,forward,20.086788333333335,1647.1166433333335,82,42,52,94,1.146341463414634,1,20.356189999999998,1.1142857142857143,FALSE,0.26940166666666343,-0.03205574912891973,2,0.1690999999999289,-0.08324496288437977,stable,0.9465478841870824,top
22,defense,19.546319999999998,1505.0666399999998,77,3,8,11,0.14285714285714285,4,18.657194583333332,0.13518071340844048,FALSE,-0.8891254166666656,-0.0076764294487023654,3,-1.1717325000003906,-0.11292065452301586,declining,0.6622950819672131,middle
23,defense,19.458955,1303.749985,67,3,8,11,0.16417910447761194,0,NA,NA,FALSE,NA,NA,3,-1.2719508333335707,-0.06097560975610645,declining,0.6445182724252492,middle
24,NA,NA,NA,NA,NA,NA,NA,NA,1,16.748196666666665,0.12162162162162163,TRUE,NA,NA,3,-0.043682499999996426,0.010660980810236758,stable,NA,NA
25,defense,16.748196666666665,1239.3665533333333,74,1,8,9,0.12162162162162163,1,19.143171666666667,0.0963855421686747,TRUE,2.3949750000000023,-0.025236079452946925,2,0.18050000000002817,0.005642519111759118,stable,0.4563953488372093,middle
26,defense,19.143171666666667,1588.8832483333333,83,2,6,8,0.0963855421686747,1,14.927291666666667,0.2,TRUE,-4.21588,0.10361445783132531,2,-1.3553791666665078,-0.021278741427992666,declining,0.6276276276276276,middle
