name_a,name_b
alex,alexander
alexander,alexander
andrew,andrew
andy,andrew
ben,benjamin
benjamin,benjamin
bill,william
bob,robert
brad,bradley
bradley,bradley
chris,christopher
christopher,christopher
dan,daniel
daniel,daniel
dave,david
david,david
james,james
jim,james
jimmy,james
joe,joseph
jon,jonathan
jonathan,jonathan
joseph,joseph
kris,kristopher
kristopher,kristopher
matt,matthew
matthew,matthew
michael,michael
mike,michael
mitch,mitchell
mitchell,mitchell
nate,nathan
nathan,nathan
nicholas,nicholas
nick,nicholas
pat,patrick
patrick,patrick
rich,richard
richard,richard
rick,richard
rob,robert
robert,robert
sam,samuel
samuel,samuel
steve,steven
steven,steven
thomas,thomas
tom,thomas
ty,tyler
tyler,tyler
will,william
william,william
zach,zachary
zachary,zachary
