player_id,canonical_name,all_name_variants,normalized_keys,normalized_ascii_keys
8448208,Jaromir Jagr,Jaromir Jagr,jaromir jagr,jaromir jagr
8460542,Patrik Elias,Patrik Elias,patrik elias,patrik elias
8460720,Eric Boulton,Eric Boulton,eric boulton,eric boulton
8462038,Shane Doan,Shane Doan,shane doan,shane doan
8462042,Jarome Iginla,Jarome Iginla,jarome iginla,jarome iginla
8464977,Dainius Zubrus,Dainius Zubrus,dainius zubrus,dainius zubrus
8464989,Matt Cullen,Matt Cullen,matt cullen,matt cullen
8465009,Zdeno Chara,Zdeno Chara,zdeno chara,zdeno chara
8465058,Michal Rozsival,Michal Rozsival,michal rozsival,michal rozsival
8465185,Willie Mitchell,Willie Mitchell,willie mitchell,willie mitchell
8465978,Shawn Thornton,Shawn Thornton,shawn thornton,shawn thornton
8466138,Joe Thornton,Joe Thornton,joe thornton,joe thornton
8466139,Patrick Marleau,Patrick Marleau,patrick marleau,patrick marleau
8466141,Roberto Luongo,Roberto Luongo,roberto luongo,roberto luongo
8466148,Marian Hossa,Marian Hossa,marian hossa,marian hossa
8466251,Jason Chimera,Jason Chimera,jason chimera,jason chimera
8466285,Brian Campbell,Brian Campbell,brian campbell,brian campbell
8466333,Andrew Ference,Andrew Ference,andrew ference,andrew ference
8466393,Pascal Dupuis,Pascal Dupuis,pascal dupuis,pascal dupuis
8467096,Dan Boyle,Dan Boyle,dan boyle,dan boyle
8467329,Vincent Lecavalier,Vincent Lecavalier,vincent lecavalier,vincent lecavalier
8467330,David Legwand,David Legwand,david legwand,david legwand
8467331,Brad Stuart,Brad Stuart,brad stuart,brad stuart
8467338,Alex Tanguay,Alex Tanguay,alex tanguay,alex tanguay
8467351,Scott Gomez,Scott Gomez,scott gomez,scott gomez
8467370,Mike Fisher,Mike Fisher,mike fisher,mike fisher
8467371,Mike Ribeiro,Mike Ribeiro,mike ribeiro,mike ribeiro
8467389,Brad Richards,Brad Richards,brad richards,brad richards
8467400,Francois Beauchemin,Francois Beauchemin,francois beauchemin,francois beauchemin
8467407,Brian Gionta,Brian Gionta,brian gionta,brian gionta
8467423,Shawn Horcoff,Shawn Horcoff,shawn horcoff,shawn horcoff
8467452,Rob Scuderi,Rob Scuderi,rob scuderi,rob scuderi
8467493,Chris Neil,Chris Neil,chris neil,chris neil
8467496,Andrei Markov,Andrei Markov,andrei markov,andrei markov
8467514,Pavel Datsyuk,Pavel Datsyuk,pavel datsyuk,pavel datsyuk
8467875,Daniel Sedin,Daniel Sedin,daniel sedin,daniel sedin
8467876,Henrik Sedin,Henrik Sedin,henrik sedin,henrik sedin
8467890,Barret Jackman,Barret Jackman,barret jackman,barret jackman
8467899,Martin Havlat,Martin Havlat,martin havlat,martin havlat
8467950,Craig Anderson,Craig Anderson,craig anderson,craig anderson
8467967,Chris Kelly,Chris Kelly,chris kelly,chris kelly
8468001,Derek MacKenzie,Derek MacKenzie,derek mackenzie,derek mackenzie
8468011,Ryan Miller,Ryan Miller,ryan miller,ryan miller
8468038,Michael Leighton,Michael Leighton,michael leighton,michael leighton
8468083,Henrik Zetterberg,Henrik Zetterberg,henrik zetterberg,henrik zetterberg
8468085,Radim Vrbata,Radim Vrbata,radim vrbata,radim vrbata
8468208,Joel Ward,Joel Ward,joel ward,joel ward
8468309,Mark Streit,Mark Streit,mark streit,mark streit
8468483,Marian Gaborik,Marian Gaborik,marian gaborik,marian gaborik
8468486,Scott Hartnell,Scott Hartnell,scott hartnell,scott hartnell
8468493,Ron Hainsey,Ron Hainsey,ron hainsey,ron hainsey
8468498,Brooks Orpik,Brooks Orpik,brooks orpik,brooks orpik
8468504,Brad Boyes,Brad Boyes,brad boyes,brad boyes
8468505,Steve Ott,Steve Ott,steve ott,steve ott
8468508,Justin Williams,Justin Williams,justin williams,justin williams
8468509,Niklas Kronwall,Niklas Kronwall,niklas kronwall,niklas kronwall
8468513,Nick Schultz,Nick Schultz,nick schultz,nick schultz
8468526,Jarret Stoll,Jarret Stoll,jarret stoll,jarret stoll
8468535,Antoine Vermette,Antoine Vermette,antoine vermette,antoine vermette
8468542,Paul Martin,Paul Martin,paul martin,paul martin
8468575,Dominic Moore,Dominic Moore,dominic moore,dominic moore
8468611,Matt Hendricks,Matt Hendricks,matt hendricks,matt hendricks
8468635,Travis Moen,Travis Moen,travis moen,travis moen
8468639,John-Michael Liles,John-Michael Liles,john-michael liles,john-michael liles
8468674,Deryk Engelland,Deryk Engelland,deryk engelland,deryk engelland
8468685,Henrik Lundqvist,Henrik Lundqvist,henrik lundqvist,henrik lundqvist
8468700,Paul Gaustad,Paul Gaustad,paul gaustad,paul gaustad
8469454,Ilya Kovalchuk,Ilya Kovalchuk,ilya kovalchuk,ilya kovalchuk
8469455,Jason Spezza,Jason Spezza,jason spezza,jason spezza
8469459,Mikko Koivu,Mikko Koivu,mikko koivu,mikko koivu
8469462,Tuomo Ruutu,Tuomo Ruutu,tuomo ruutu,tuomo ruutu
8469465,Dan Hamhuis,Dan Hamhuis,dan hamhuis,dan hamhuis
8469466,Ales Hemsky,Ales Hemsky,ales hemsky,ales hemsky
8469469,R.J. Umberger,R.J. Umberger,r.j. umberger,r.j. umberger
8469470,Carlo Colaiacovo,Carlo Colaiacovo,carlo colaiacovo,carlo colaiacovo
8469490,Tim Jackman,Tim Jackman,tim jackman,tim jackman
8469492,Fedor Tyutin,Fedor Tyutin,fedor tyutin,fedor tyutin
8469500,Michael Cammalleri,Michael Cammalleri,michael cammalleri,michael cammalleri
8469501,Chris Thorburn,Chris Thorburn,chris thorburn,chris thorburn
8469506,Jason Pominville,Jason Pominville,jason pominville,jason pominville
8469508,Jay McClement,Jay McClement,jay mcclement,jay mcclement
8469514,Peter Budaj,Peter Budaj,peter budaj,peter budaj
8469521,Tomas Plekanec,Tomas Plekanec,tomas plekanec,tomas plekanec
8469544,Patrick Sharp,Patrick Sharp,patrick sharp,patrick sharp
8469547,Jordin Tootoo,Jordin Tootoo,jordin tootoo,jordin tootoo
8469555,Christian Ehrhoff,Christian Ehrhoff,christian ehrhoff,christian ehrhoff
8469598,Kevin Bieksa,Kevin Bieksa,kevin bieksa,kevin bieksa
8469608,Mike Smith,Mike Smith,mike smith,mike smith
8469619,Dennis Seidenberg,Dennis Seidenberg,dennis seidenberg,dennis seidenberg
8469623,Marek Zidlicky,Marek Zidlicky,marek zidlicky,marek zidlicky
8469638,Jussi Jokinen,Jussi Jokinen,jussi jokinen,jussi jokinen
8469639,Brooks Laich,Brooks Laich,brooks laich,brooks laich
