player_id,player_name,name_key,name_key_ascii,first_name,last_name,first_name_key,last_name_key,name_key_first_last
8458519,Aaron Ward,aaron ward,aaron ward,Aaron,Ward,aaron,ward,aaron ward
8473682,Andrew Ebbett,andrew ebbett,andrew ebbett,Andrew,Ebbett,andrew,ebbett,andrew ebbett
8471676,Bobby Ryan,bobby ryan,bobby ryan,Bobby,Ryan,bobby,ryan,bobby ryan
8471705,Brendan Mikkelson,brendan mikkelson,brendan mikkelson,Brendan,Mikkelson,brendan,mikkelson,brendan mikkelson
8471978,Brett Festerling,brett festerling,brett festerling,Brett,Festerling,brett,festerling,brett festerling
8470621,Corey Perry,corey perry,corey perry,Corey,Perry,corey,perry,corey perry
8470147,Curtis McElhinney,curtis mcelhinney,curtis mcelhinney,Curtis,McElhinney,curtis,mcelhinney,curtis mcelhinney
8475105,Dan Sexton,dan sexton,dan sexton,Dan,Sexton,dan,sexton,dan sexton
8470299,Erik Christensen,erik christensen,erik christensen,Erik,Christensen,erik,christensen,erik christensen
8469543,Evgeny Artyukhin,evgeny artyukhin,evgeny artyukhin,Evgeny,Artyukhin,evgeny,artyukhin,evgeny artyukhin
8468095,George Parros,george parros,george parros,George,Parros,george,parros,george parros
8470222,James Wisniewski,james wisniewski,james wisniewski,James,Wisniewski,james,wisniewski,james wisniewski
8467844,Jason Blake,jason blake,jason blake,Jason,Blake,jason,blake,jason blake
8462044,Jean-Sebastien Giguere,jean-sebastien giguere,jean-sebastien giguere,Jean-Sebastien,Giguere,jean-sebastien,giguere,jean-sebastien giguere
8470207,Joffrey Lupul,joffrey lupul,joffrey lupul,Joffrey,Lupul,joffrey,lupul,joffrey lupul
8473972,Jonas Hiller,jonas hiller,jonas hiller,Jonas,Hiller,jonas,hiller,jonas hiller
8466260,Kyle Calder,kyle calder,kyle calder,Kyle,Calder,kyle,calder,kyle calder
8471231,Kyle Chipchura,kyle chipchura,kyle chipchura,Kyle,Chipchura,kyle,chipchura,kyle chipchura
8468598,Lubomir Visnovsky,lubomir visnovsky,lubomir visnovsky,Lubomir,Visnovsky,lubomir,visnovsky,lubomir visnovsky
8474579,Luca Sbisa,luca sbisa,luca sbisa,Luca,Sbisa,luca,sbisa,luca sbisa
