player_name,signing_team_abbr,season,player_id,override_note
Aatu Jamsen,LAK,20242025,NA,NA
Adam Engstrom,MTL,20242025,NA,NA
Adam Jiricek,STL,20242025,NA,NA
Adam Klapka,CGY,20222023,NA,NA
Adam Sykora,NYR,20222023,NA,NA
Aidan Fulp,NYI,20232024,NA,NA
Aku Raty,ARI,20232024,NA,NA
Aleksandr Kisakov,BUF,20222023,NA,NA
Aleksanteri Kaskimaki,STL,20242025,NA,NA
Aleksi Heimosalmi,CAR,20212022,NA,NA
Alex Jefferies,NYI,20242025,NA,NA
Alex Limoges,WPG,20222023,NA,NA
Alex Limoges,WSH,20232024,NA,NA
Alex Limoges,WSH,20242025,NA,NA
Alexander Nylander,BUF,20162017,NA,NA
Alexander Nylander,CHI,20212022,NA,NA
Alexander Nylander,PIT,20222023,NA,NA
Alexander Nylander,PIT,20232024,NA,NA
Alexander Nylander,TOR,20242025,NA,NA
Alexander Pashin,CAR,20222023,NA,NA
Alexander Suzdalev,WSH,20222023,NA,NA
Alexandre Doucet,DET,20232024,NA,NA
Alexis Gendron,PHI,20232024,NA,NA
Amadeus Lombardi,DET,20222023,NA,NA
Andre Lee,LAK,20222023,NA,NA
Andre Lee,LAK,20242025,NA,NA
Andre Lee,LAK,20252026,NA,NA
Andrew Basha,CGY,20242025,NA,NA
Andrew Cristall,WSH,20232024,NA,NA
Andrew Gibson,DET,20242025,NA,NA
Angus Booth,LAK,20232024,NA,NA
Anthony (AJ) Spellacy,CHI,20252026,NA,NA
Anton Malmstrom,STL,20232024,NA,NA
Anton Wahlberg,BUF,20232024,NA,NA
Antonio Stranges,DAL,20222023,NA,NA
Antti Saarela,CHI,20232024,NA,NA
Antti Tuomisto,DET,20232024,NA,NA
Anttoni Honka,CAR,20222023,NA,NA
Arshdeep Bains,VAN,20222023,NA,NA
Artem Duda,UTA,20242025,NA,NA
Artem Grushnikov,DAL,20212022,NA,NA
Artem Guryev,SJS,20232024,NA,NA
Arttu Hyry,DAL,20242025,NA,NA
Austin Roest,NSH,20242025,NA,NA
Beau Akey,EDM,20232024,NA,NA
Beckett Sennecke,ANA,20242025,NA,NA
Ben Danford,TOR,20242025,NA,NA
Ben Hemmerling,VGK,20232024,NA,NA
Ben Steeves,FLA,20242025,NA,NA
Bennett MacArthur,TBL,20222023,NA,NA
Berkly Catton,SEA,20242025,NA,NA
Bogdan Trineyev,WSH,20222023,NA,NA
Brad Lambert,WPG,20222023,NA,NA
Bradly Nadeau,CAR,20242025,NA,NA
Brady Stonehouse,EDM,20232024,NA,NA
Braeden Kressler,TOR,20212022,NA,NA
Brandon Coe,SJS,20212022,NA,NA
Brandon Coe,SJS,20242025,NA,NA
Brandon Scanlin,NYR,20222023,NA,NA
Brandon Scanlin,NYR,20232024,NA,NA
Brandon Scanlin,NYR,20242025,NA,NA
Brendan Brisson,VGK,20222023,NA,NA
Brett Harrison,BOS,20222023,NA,NA
Bryce McConnell-Barker,NYR,20232024,NA,NA
Bryce Montgomery,CAR,20242025,NA,NA
Caden Price,SEA,20242025,NA,NA
Caedan Bankier,MIN,20232024,NA,NA
Calle Odelius,NYI,20222023,NA,NA
Calum Ritchie,COL,20242025,NA,NA
Cam Allen,WSH,20242025,NA,NA
Cam Squires,NJD,20242025,NA,NA
Camden Thiesing,NYI,20242025,NA,NA
Cameron Butler,CBJ,20232024,NA,NA
Cameron Hebig,EDM,20172018,NA,NA
Cameron Hebig,UTA,20252026,NA,NA
Cameron Lund,SJS,20252026,NA,NA
Cameron Wright,EDM,20242025,NA,NA
Carl Berglund,EDM,20232024,NA,NA
Carson Rehkopf,SEA,20242025,NA,NA
Cedric Pare,TOR,20242025,NA,NA
Charles-Alexis Legault,CAR,20242025,NA,NA
Chase Bradley,COL,20242025,NA,NA
Chase Stillman,NJD,20212022,NA,NA
Chase Wheatcroft,DAL,20232024,NA,NA
Chaz Lucius,WPG,20222023,NA,NA
Christian Felton,VAN,20242025,NA,NA
Christian Kyrou,DAL,20232024,NA,NA
Christoffer Sedoff,VGK,20232024,NA,NA
Colby Barlow,WPG,20232024,NA,NA
Cole Beaudoin,UTA,20242025,NA,NA
Cole Clayton,CBJ,20242025,NA,NA
Cole Krygier,LAK,20232024,NA,NA
Collin Graf,SJS,20242025,NA,NA
Colton Dach,CHI,20212022,NA,NA
Colton Poolman,BUF,20242025,NA,NA
Connor Clattenburg,EDM,20242025,NA,NA
Connor Punnett,DAL,20242025,NA,NA
Conor Geekie,ARI,20222023,NA,NA
Corey Andonovski,PIT,20222023,NA,NA
Corey Andonovski,PIT,20242025,NA,NA
Corson Ceulemans,CBJ,20232024,NA,NA
Coulson Pitre,ANA,20242025,NA,NA
Cross Hanas,DET,20222023,NA,NA
Curtis Douglas,TOR,20222023,NA,NA
Curtis Douglas,UTA,20242025,NA,NA
Daemon Hunt,MIN,20212022,NA,NA
Dalibor Dvorsky,STL,20232024,NA,NA
Daniil Misyul,NJD,20232024,NA,NA
Danil Zhilkin,WPG,20222023,NA,NA
Danila Klimovich,VAN,20212022,NA,NA
David Edstrom,VGK,20232024,NA,NA
David Goyette,SEA,20232024,NA,NA
David Reinbacher,MTL,20232024,NA,NA
David Spacek,MIN,20232024,NA,NA
Daylan Kuefler,NYI,20232024,NA,NA
Declan Carlile,TBL,20222023,NA,NA
Declan Carlile,TBL,20242025,NA,NA
