player_name,n
Sebastian Aho,7
Alexander Nylander,5
Joseph Cecconi,5
Max Lajoie,5
Spencer Smallman,5
Elias Pettersson,4
Wyatt Aamodt,4
Alex Limoges,3
Andre Lee,3
Brandon Scanlin,3
Jimmy Huntington,3
Linus Karlsson,3
Mathias Emilio Pettersen,3
Mathias Laferriere,3
Nate Clurman,3
Nathan Smith,3
Nathan Todd,3
Riley Sutter,3
Travis Barron,3
Tyler Madden,3
Brandon Coe,2
Cameron Hebig,2
Cameron Lund,2
Corey Andonovski,2
Curtis Douglas,2
Declan Carlile,2
Graeme Clarke,2
Hunter Skinner,2
Jack St. Ivany,2
Jamieson Rees,2
Jason Polin,2
Jonathan Aspirot,2
Luke Henman,2
Marc Del Gaizo,2
Mason Jobst,2
Matthew Robertson,2
Michael Callahan,2
Nikolas Brouillard,2
Noel Hoefenmayer,2
Ozzy Wiesblatt,2
Patrick Giles,2
Patrik Koch,2
Philip Kemp,2
Rodrigo Abols,2
Ryan Suzuki,2
Samuel Laberge,2
Simon Lundmark,2
Tye Felhaber,2
Yan Kuznetsov,2
Aatu Jamsen,1
Adam Engstrom,1
Adam Jiricek,1
Adam Klapka,1
Adam Sykora,1
Aidan Fulp,1
Aku Raty,1
Aleksandr Kisakov,1
Aleksanteri Kaskimaki,1
Aleksi Heimosalmi,1
Alex Jefferies,1
Alexander Pashin,1
Alexander Suzdalev,1
Alexandre Doucet,1
Alexis Gendron,1
Amadeus Lombardi,1
Andrew Basha,1
Andrew Cristall,1
Andrew Gibson,1
Angus Booth,1
Anthony (AJ) Spellacy,1
Anton Malmstrom,1
Anton Wahlberg,1
Antonio Stranges,1
Antti Saarela,1
Antti Tuomisto,1
Anttoni Honka,1
Arshdeep Bains,1
Artem Duda,1
Artem Grushnikov,1
Artem Guryev,1
Arttu Hyry,1
Austin Roest,1
Beau Akey,1
Beckett Sennecke,1
Ben Danford,1
Ben Hemmerling,1
Ben Steeves,1
Bennett MacArthur,1
Berkly Catton,1
Bogdan Trineyev,1
Brad Lambert,1
Bradly Nadeau,1
Brady Stonehouse,1
Braeden Kressler,1
Brendan Brisson,1
Brett Harrison,1
Bryce McConnell-Barker,1
Bryce Montgomery,1
Caden Price,1
Caedan Bankier,1
Calle Odelius,1
Calum Ritchie,1
Cam Allen,1
Cam Squires,1
Camden Thiesing,1
Cameron Butler,1
Cameron Wright,1
Carl Berglund,1
Carson Rehkopf,1
Cedric Pare,1
Charles-Alexis Legault,1
Chase Bradley,1
Chase Stillman,1
Chase Wheatcroft,1
Chaz Lucius,1
Christian Felton,1
Christian Kyrou,1
Christoffer Sedoff,1
Colby Barlow,1
Cole Beaudoin,1
Cole Clayton,1
Cole Krygier,1
Collin Graf,1
Colton Dach,1
Colton Poolman,1
Connor Clattenburg,1
Connor Punnett,1
Conor Geekie,1
Corson Ceulemans,1
Coulson Pitre,1
Cross Hanas,1
Daemon Hunt,1
Dalibor Dvorsky,1
Daniil Misyul,1
Danil Zhilkin,1
Danila Klimovich,1
David Edstrom,1
David Goyette,1
David Reinbacher,1
David Spacek,1
Daylan Kuefler,1
Denton Mateychuk,1
Denver Barkey,1
Djibril Toure,1
Dmitry Kuzmin,1
Domenick Fensore,1
Dominik Badinka,1
Dominik Shine,1
Drew Bavaro,1
Dylan Duke,1
Dylan Peterson,1
Dylan Roobroeck,1
Dylan Wendt,1
Dyllan Gill,1
Easton Cowan,1
Eduard Sale,1
Eemil Viro,1
Eetu Liukas,1
Emil Andrae,1
Emil Hemming,1
Emil Pieniniemi,1
Emmitt Finnie,1
Eriks Mateiko,1
Ethan Cardwell,1
Ethan Del Mastro,1
Ethan Gauthier,1
Ethan Samson,1
Etienne Morin,1
Evan Nause,1
Fabian Lysell,1
Fabian Wagner,1
Fedor Svechkov,1
Felix Unger Sorum,1
Filip Bystedt,1
Filip Mesar,1
Florian Xhekaj,1
Francesco Arcuri,1
Fraser Minten,1
Frederic Brunet,1
Gabriel Szturc,1
Gannon Laroque,1
Gavin Brindley,1
Gavin Hayes,1
Gavin White,1
Georgii Merkulov,1
Gleb Trikozov,1
Gracyn Sawchyn,1
Harrison Brunicke,1
Helge Grans,1
Henrik Rybinski,1
Hunter Brzustewicz,1
Hunter McDonald,1
Hunter St. Martin,1
Igor Chernyshov,1
Ilya Protas,1
Ilya Usau,1
Isaac Belliveau,1
Isaiah George,1
Isak Rosen,1
Ivan Ivan,1
Ivan Miroshnichenko,1
Jack Finley,1
Jack Matier,1
Jack Peart,1
Jack Thompson,1
Jackson Edward,1
Jacob Gaucher,1
Jacob Melanson,1
Jagger Firkus,1
Jake Chiasson,1
Jake Furlong,1
Jakub Brabenec,1
Jakub Demek,1
Jakub Dvorak,1
Jakub Rychlovsky,1
Jakub Stancl,1
Jalen Luypen,1
James Malatesta,1
James Stefan,1
Jan Mysak,1
Jani Nyman,1
Jared Davidson,1
Jaroslav Chmelar,1
Jaxon Nelson,1
Jaxsen Wiebe,1
Jayden Grubbe,1
Jaydon Dureau,1
Jere Innala,1
Jeremie Biakabutuka,1
Jeremie Poirier,1
Jeremy Hanzel,1
Jesse Nurmi,1
Jesse Pulkkinen,1
Jett Luchanko,1
Jiri Kulich,1
Joakim Kemell,1
Joe Fleming,1
Joel Nystrom,1
John Farinacci,1
Jon-Randall Avon,1
Jonathan Lekkerimaki,1
Joni Jurmo,1
Jordan Dumais,1
Jordan Frasca,1
Jordan Gustafson,1
Jorian Donovan,1
Josh Bloom,1
Josh Davies,1
Josh Filmon,1
Josh Lopina,1
Judd Caulfield,1
Julian Lutz,1
Juraj Pekarcik,1
Justin Ertel,1
Justin Hryckowian,1
Justin Robidas,1
Justin Sourdif,1
Kai Schwindt,1
Kalan Lind,1
Kaleb Lawrence,1
Kalle Vaisanen,1
Kasper Halttunen,1
Kevin He,1
Kim Nousiainen,1
Kirill Kudryavtsev,1
Koehn Ziemmer,1
Konsta Helenius,1
Kyle Masters,1
Kyle McDonald,1
Leo Loof,1
Leon Muggli,1
Liam Greentree,1
Lleyton Roed,1
Logan Mailloux,1
Logan Morrison,1
Loke Johansson,1
Luca Cagnoni,1
Luca Del Bel Belluz,1
Luca Pinelli,1
Lucas Ciona,1
Lucas Edmonds,1
Ludwig Persson,1
Lukas Dragicevic,1
Luke Krys,1
Luke Prokop,1
Luke Toporowski,1
Luke Tuch,1
Maksymilian Szuber,1
Marc Johnstone,1
Marc-Andre Gaudet,1
Marek Alscher,1
Marshall Warren,1
Martin Chromiak,1
Martin Misiak,1
Mason Morelli,1
Massimo Rizzo,1
Mathieu Cataford,1
Matt Stienburg,1
Matthew Andonovski,1
Matthew Maggio,1
Matthew Savoie,1
Matthew Seminoff,1
Matvei Gridin,1
Matvey Petrov,1
Matyas Sapovaliv,1
Maveric Lamoureux,1
Max McCue,1
Max Sasson,1
Maxim Groshev,1
