team_name_full,team_abbr,team_name_key
Anaheim Ducks,ANA,anaheim ducks
Arizona Coyotes,ARI,arizona coyotes
Phoenix Coyotes,ARI,phoenix coyotes
Boston Bruins,BOS,boston bruins
Buffalo Sabres,BUF,buffalo sabres
Carolina Hurricanes,CAR,carolina hurricanes
Columbus Blue Jackets,CBJ,columbus blue jackets
Calgary Flames,CGY,calgary flames
Chicago Blackhawks,CHI,chicago blackhawks
Colorado Avalanche,COL,colorado avalanche
Dallas Stars,DAL,dallas stars
Detroit Red Wings,DET,detroit red wings
Edmonton Oilers,EDM,edmonton oilers
Florida Panthers,FLA,florida panthers
Los Angeles Kings,LAK,los angeles kings
Minnesota Wild,MIN,minnesota wild
Montreal Canadiens,MTL,montreal canadiens
Montréal Canadiens,MTL,montréal canadiens
New Jersey Devils,NJD,new jersey devils
Nashville Predators,NSH,nashville predators
New York Islanders,NYI,new york islanders
New York Rangers,NYR,new york rangers
Ottawa Senators,OTT,ottawa senators
Philadelphia Flyers,PHI,philadelphia flyers
Pittsburgh Penguins,PIT,pittsburgh penguins
Seattle Kraken,SEA,seattle kraken
San Jose Sharks,SJS,san jose sharks
St. Louis Blues,STL,st. louis blues
Tampa Bay Lightning,TBL,tampa bay lightning
Toronto Maple Leafs,TOR,toronto maple leafs
Utah Hockey Club,UTA,utah hockey club
Vancouver Canucks,VAN,vancouver canucks
Vegas Golden Knights,VGK,vegas golden knights
Winnipeg Jets,WPG,winnipeg jets
Washington Capitals,WSH,washington capitals
