player_name,position,signing_team,previous_team,contract_value,aav,contract_years,signing_year,signing_date,contract_type
Alex Killorn,"LW, RW",Tampa Bay Lightning,NA,1750000,875000,2,2012,2012-03-19,other
Anders Lee,"LW, RW",New York Islanders,NA,3500000,1750000,2,2012,2012-04-01,RFA
Boone Jenner,C,Columbus Blue Jackets,NA,2775000,925000,3,2012,2012-03-28,RFA
Brad Marchand,"LW, RW, C",Boston Bruins,Boston Bruins,18000000,4500000,4,2012,2012-09-07,UFA
Brendan Gaunce,"C, RW",Vancouver Canucks,NA,3262500,1087500,3,2012,2012-08-13,RFA
Brian Dumoulin,LD,Carolina Hurricanes,NA,2700000,900000,3,2012,2012-04-10,other
Brock Nelson,"C, LW",New York Islanders,NA,8475000,2825000,3,2012,2012-04-03,RFA
Calle Jarnkrok,"RW, LW, C",Detroit Red Wings,NA,2700000,900000,3,2012,2012-05-31,RFA
Cam Fowler,"LD, RD",Anaheim Ducks,Anaheim Ducks,20000000,4000000,5,2012,2012-09-15,UFA
Cam Talbot,G,New York Rangers,NA,550000,550000,1,2012,2012-07-26,other
Carey Price,G,Montreal Canadiens,Montréal Canadiens,39000000,6500000,6,2012,2012-07-02,UFA
Charlie Coyle,C,Minnesota Wild,NA,2925000,975000,3,2012,2012-03-01,RFA
Chris Kreider,"LW, RW",New York Rangers,New York Rangers,3975000,1325000,3,2012,2012-04-10,other
Chris Wagner,"C, RW",Anaheim Ducks,NA,2700000,900000,3,2012,2012-04-03,other
Cody Ceci,"RD, LD",Ottawa Senators,NA,4200000,1400000,3,2012,2012-08-23,RFA
Colton Sissons,C,Nashville Predators,NA,2725000,900000,3,2012,2012-09-15,RFA
Craig Smith,"RW, LW, C",Nashville Predators,Nashville Predators,4000000,2000000,2,2012,2012-09-14,other
Damon Severson,"RD, LD",New Jersey Devils,NA,2850000,933333,3,2012,2012-09-10,RFA
David Perron,"LW, RW",St. Louis Blues,St. Louis Blues,15250000,3812500,4,2012,2012-07-05,UFA
Derrick Pouliot,"LD, RD",Pittsburgh Penguins,NA,4050000,1350000,3,2012,2012-09-14,RFA
Dylan DeMelo,RD,San Jose Sharks,NA,2250000,750000,3,2012,2012-04-20,RFA
Erik Johnson,RD,Colorado Avalanche,Colorado Avalanche,15000000,3750000,4,2012,2012-07-03,UFA
Erik Karlsson,RD,Ottawa Senators,Ottawa Senators,45500000,6500000,7,2012,2012-06-19,UFA
Evander Kane,"LW, RW",Winnipeg Jets,Winnipeg Jets,31500000,5250000,6,2012,2012-09-15,UFA
Filip Forsberg,LW,Washington Capitals,NA,4475000,1491667,3,2012,2012-07-16,RFA
Frederik Andersen,G,Anaheim Ducks,NA,3550000,1775000,2,2012,2012-07-10,other
Hampus Lindholm,LD,Anaheim Ducks,NA,5325000,1775000,3,2012,2012-07-16,RFA
Jaden Schwartz,"RW, LW, C",St. Louis Blues,St. Louis Blues,3500000,1166667,3,2012,2012-03-12,other
Jason Zucker,"LW, RW",Minnesota Wild,Minnesota Wild,2500000,833333,3,2012,2012-03-27,RFA
Jean-Gabriel Pageau,C,Ottawa Senators,NA,1840000,613333,3,2012,2012-06-08,RFA
Jeff Petry,RD,Edmonton Oilers,Edmonton Oilers,3500000,1750000,2,2012,2012-07-05,other
Jeff Skinner,"LW, RW, C",Carolina Hurricanes,Carolina Hurricanes,34350000,5725000,6,2012,2012-08-08,UFA
Jesper Fast,"RW, LW",New York Rangers,NA,2700000,900000,3,2012,2012-05-31,RFA
Joel Armia,"LW, RW",Buffalo Sabres,NA,3825000,1275000,3,2012,2012-06-17,RFA
John Carlson,"RD, LD",Washington Capitals,Washington Capitals,23800000,3966667,6,2012,2012-09-15,UFA
John Gibson,G,Anaheim Ducks,NA,2775000,925000,3,2012,2012-03-15,RFA
Jonathan Marchessault,"RW, C",Columbus Blue Jackets,NA,2775000,925000,3,2012,2012-07-01,other
Jonathan Quick,G,Los Angeles Kings,Los Angeles Kings,58000000,5800000,10,2012,2012-07-01,UFA
Jordan Binnington,G,St. Louis Blues,NA,2775000,925000,3,2012,2012-05-31,RFA
Jordan Eberle,RW,Edmonton Oilers,Edmonton Oilers,36000000,6000000,6,2012,2012-08-30,UFA
Jordan Martinook,LW,Arizona Coyotes,NA,2552500,840833,3,2012,2012-09-06,RFA
Jordan Staal,C,Carolina Hurricanes,Pittsburgh Penguins,60000000,6000000,10,2012,2012-07-01,UFA
Kurtis MacDermid,LW,Los Angeles Kings,NA,1795000,573333,3,2012,2012-09-15,other
Lars Eller,"C, LW, RW",Montreal Canadiens,Montréal Canadiens,2650000,1150000,2,2012,2012-07-07,other
Magnus Hellberg,G,Nashville Predators,NA,2775000,925000,3,2012,2012-06-16,other
Marc-Edouard Vlasic,"LD, RD",San Jose Sharks,San Jose Sharks,21250000,4250000,5,2012,2012-07-11,UFA
Martin Frk,RW,Detroit Red Wings,NA,2775000,925000,3,2012,2012-07-31,RFA
Mathew Dumba,RD,Minnesota Wild,NA,4900000,1633333,3,2012,2012-07-19,RFA
Matt Duchene,"RW, C",Colorado Avalanche,Colorado Avalanche,7000000,3500000,2,2012,2012-06-23,other
Matt Martin,"LW, RW",New York Islanders,New York Islanders,4000000,1000000,4,2012,2012-09-15,UFA
Max Pacioretty,"LW, RW",Montreal Canadiens,Montréal Canadiens,27000000,4500000,6,2012,2012-08-16,UFA
Mikael Backlund,C,Calgary Flames,Calgary Flames,725000,725000,1,2012,2012-07-05,other
Mikael Granlund,C,Minnesota Wild,NA,6300000,2100000,3,2012,2012-05-25,RFA
Morgan Rielly,LD,Toronto Maple Leafs,NA,5325000,1775000,3,2012,2012-08-07,RFA
Nick Foligno,"LW, C",Columbus Blue Jackets,Ottawa Senators,9250000,3083333,3,2012,2012-07-06,UFA
Nikita Kucherov,RW,Tampa Bay Lightning,NA,2775000,925000,3,2012,2012-09-11,RFA
Olli Maatta,"RD, LD",Pittsburgh Penguins,NA,2775000,925000,3,2012,2012-09-14,RFA
Pat Maroon,"RW, LW",Anaheim Ducks,Anaheim Ducks,550000,550000,1,2012,2012-06-07,UFA
Phillip Danault,C,Chicago Blackhawks,NA,3075000,1025000,3,2012,2012-01-01,RFA
Radek Faksa,"C, LW, RW",Dallas Stars,NA,4200000,1400000,3,2012,2012-07-06,RFA
Reilly Smith,"RW, LW",Dallas Stars,Dallas Stars,2700000,900000,3,2012,2012-03-26,RFA
Rickard Rakell,"RW, LW",Anaheim Ducks,NA,2775000,925000,3,2012,2012-07-02,RFA
Robert Bortuzzo,RD,Pittsburgh Penguins,Pittsburgh Penguins,525000,525000,1,2012,2012-08-30,other
Ryan Reaves,"RW, LW",St. Louis Blues,St. Louis Blues,1200000,600000,2,2012,2012-01-09,UFA
Ryan Suter,"RD, LD",Minnesota Wild,Nashville Predators,98000000,7538462,13,2012,2012-07-04,UFA
Sam Carrick,C,Toronto Maple Leafs,NA,1895000,631667,3,2012,2012-03-31,RFA
Scott Laughton,"C, LW",Philadelphia Flyers,NA,3412500,1137500,3,2012,2012-08-12,RFA
Scott Wedgewood,G,New Jersey Devils,NA,2725000,908333,3,2012,2012-03-16,RFA
Shea Weber,RD,Nashville Predators,Nashville Predators,110000000,7857143,14,2012,2012-07-24,UFA
Sidney Crosby,C,Pittsburgh Penguins,Pittsburgh Penguins,104400000,8700000,12,2012,2012-07-01,UFA
T.J. Oshie,RW,St. Louis Blues,St. Louis Blues,20875000,4175000,5,2012,2012-07-19,UFA
Tanner Pearson,"LW, RW",Los Angeles Kings,NA,2775000,925000,3,2012,2012-08-07,RFA
Taylor Hall,LW,Edmonton Oilers,Edmonton Oilers,42000000,6000000,7,2012,2012-08-22,UFA
Tom Wilson,RW,Washington Capitals,NA,3975000,1325000,3,2012,2012-07-19,RFA
Torey Krug,LD,Boston Bruins,Boston Bruins,5112500,1704167,3,2012,2012-03-25,other
Troy Grosenick,G,San Jose Sharks,NA,1250000,625000,2,2012,2012-07-02,other
Tyler Seguin,C,Boston Bruins,Boston Bruins,34500000,5750000,6,2012,2012-09-11,UFA
Vincent Trocheck,C,Florida Panthers,NA,2775000,925000,3,2012,2012-04-23,RFA
Vladimir Tarasenko,"RW, LW",St. Louis Blues,NA,5250000,1750000,3,2012,2012-07-02,RFA
Vladislav Namestnikov,"RW, C",Tampa Bay Lightning,NA,3037500,1012500,3,2012,2012-03-13,RFA
Zemgus Girgensons,"LW, C",Buffalo Sabres,NA,4200000,1400000,3,2012,2012-07-15,RFA
Adam Henrique,"C, RW, LW",New Jersey Devils,New Jersey Devils,24000000,4000000,6,2013,2013-08-27,UFA
Adam Lowry,C,Winnipeg Jets,NA,2775000,925000,3,2013,2013-04-16,RFA
Alec Martinez,"LD, RD",Los Angeles Kings,Los Angeles Kings,2200000,1100000,2,2013,2013-07-17,UFA
Aleksander Barkov,C,Florida Panthers,NA,10725000,3575000,3,2013,2013-07-14,RFA
Alex Pietrangelo,RD,St. Louis Blues,St. Louis Blues,45500000,6500000,7,2013,2013-09-14,UFA
Andre Burakovsky,"LW, RW",Washington Capitals,NA,2775000,925000,3,2013,2013-09-08,RFA
Andreas Athanasiou,"C, RW",Detroit Red Wings,NA,2775000,925000,3,2013,2013-11-15,RFA
Andrew Agozzino,LW,Colorado Avalanche,NA,1180000,590000,2,2013,2013-03-25,other
Anthony Mantha,RW,Detroit Red Wings,NA,2775000,925000,3,2013,2013-10-19,RFA
Anthony Stolarz,G,Philadelphia Flyers,NA,2775000,925000,3,2013,2013-03-01,RFA
Anton Forsberg,G,Columbus Blue Jackets,NA,2100000,700000,3,2013,2013-05-28,RFA
Bo Horvat,"C, RW, LW",Vancouver Canucks,NA,5325000,1775000,3,2013,2013-08-08,RFA
Brendan Smith,"LD, RD",Detroit Red Wings,Detroit Red Wings,2525000,1262500,2,2013,2013-07-17,other
Brock McGinn,LW,Carolina Hurricanes,NA,2775000,925000,3,2013,2013-04-07,RFA
Cam Atkinson,"RW, LW",Columbus Blue Jackets,Columbus Blue Jackets,2300000,1150000,2,2013,2013-08-26,other
Cam Talbot,G,New York Rangers,NA,1125000,562500,2,2013,2013-02-18,UFA
Chad Ruhwedel,RD,Buffalo Sabres,Buffalo Sabres,1950000,975000,2,2013,2013-04-13,other
Chris Tanev,RD,Vancouver Canucks,Vancouver Canucks,1500000,1500000,1,2013,2013-08-22,other
Claude Giroux,"C, RW",Philadelphia Flyers,Philadelphia Flyers,66200000,8275000,8,2013,2013-07-04,UFA
Colin Miller,RD,Los Angeles Kings,NA,1807500,602500,3,2013,2013-07-29,RFA
Connor Brown,RW,Toronto Maple Leafs,NA,2775000,925000,3,2013,2013-11-22,RFA
Connor Carrick,RD,Washington Capitals,NA,2350000,783333,3,2013,2013-09-23,RFA
Corey Perry,RW,Anaheim Ducks,Anaheim Ducks,69000000,8625000,8,2013,2013-03-18,UFA
Curtis Lazar,"LW, C, RW",Ottawa Senators,NA,3855000,1285000,3,2013,2013-09-17,RFA
Darnell Nurse,"LD, RD",Edmonton Oilers,NA,5325000,1775000,3,2013,2013-07-27,RFA
David Savard,"RD, LD",Columbus Blue Jackets,Columbus Blue Jackets,709275,709275,1,2013,2013-07-17,other
