team,season,captain_name,source_page,alternate_data_available
Anaheim Ducks,2012-13,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2013-14,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2014-15,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2015-16,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2016-17,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2017-18,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2018-19,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2019-20,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2020-21,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Anaheim Ducks,2021-22,Ryan Getzlaf,https://en.wikipedia.org/wiki/List_of_Anaheim_Ducks_captains,FALSE
Boston Bruins,2012-13,Zdeno Chara,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2013-14,Zdeno Chara,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2014-15,Zdeno Chara,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2015-16,Zdeno Chara,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2016-17,Zdeno Chara,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2017-18,Zdeno Chara,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2018-19,Zdeno Chara,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2019-20,Zdeno Chara,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2020-21,Patrice Bergeron,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2021-22,Patrice Bergeron,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2022-23,Patrice Bergeron,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2023-24,Brad Marchand,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Boston Bruins,2024-25,Brad Marchand,https://en.wikipedia.org/wiki/List_of_Boston_Bruins_captains,FALSE
Buffalo Sabres,2012-13,Brian Gionta,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2013-14,Brian Gionta,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2014-15,Brian Gionta,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2015-16,Brian Gionta,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2016-17,Brian Gionta,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2018-19,Jack Eichel,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2019-20,Jack Eichel,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2020-21,Jack Eichel,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2022-23,Kyle Okposo,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2023-24,Kyle Okposo,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Buffalo Sabres,2024-25,Rasmus Dahlin,https://en.wikipedia.org/wiki/List_of_Buffalo_Sabres_captains,FALSE
Calgary Flames,2012-13,Mark Giordano,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2013-14,Mark Giordano,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2014-15,Mark Giordano,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2015-16,Mark Giordano,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2016-17,Mark Giordano,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2017-18,Mark Giordano,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2018-19,Mark Giordano,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2019-20,Mark Giordano,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2023-24,Mikael Backlund,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Calgary Flames,2024-25,Mikael Backlund,https://en.wikipedia.org/wiki/List_of_Calgary_Flames_captains,FALSE
Carolina Hurricanes,2012-13,Eric Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2013-14,Eric Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2014-15,Eric Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
Carolina Hurricanes,2015-16,Eric Staal,https://en.wikipedia.org/wiki/List_of_Carolina_Hurricanes_captains,FALSE
