subgroup_col,subgroup_value,n,coefficient,std_error,p_value,holds,full_sample_coefficient
position,defensemen,602,0.9768503345456455,0.21482009724911724,6.582527372722185e-6,TRUE,0.7029864310098282
position,forwards,1105,0.5259031022780394,0.137631244801207,1.4029445292440779e-4,TRUE,0.7029864310098282
trajectory,declining,389,0.3916812880715074,0.23883629126966816,0.10183295761700022,FALSE,0.7029864310098282
trajectory,insufficient_history,566,0.5611114275741691,0.28035028269680373,0.04582336084570166,TRUE,0.7029864310098282
trajectory,rising,543,0.711725406517455,0.19154740795981665,2.2386809763333588e-4,TRUE,0.7029864310098282
trajectory,stable,209,0.5313500675730906,0.2942660991149184,0.07244269847059154,FALSE,0.7029864310098282
tier,fringe,416,0.5278913122117135,0.25196311260789156,0.03676795444197052,TRUE,0.7029864310098282
tier,middle,539,0.8286625181123941,0.18724934358656792,1.1660391635139409e-5,TRUE,0.7029864310098282
tier,top,434,0.9161926499848071,0.24114301534290541,1.658682157243191e-4,TRUE,0.7029864310098282
tier,unknown,318,0.4856626316152963,0.2777799957347205,0.08137080745215669,FALSE,0.7029864310098282
era,early_2012_2021,971,0.6409534692879945,0.1778111421468272,3.2849776302049783e-4,TRUE,0.7029864310098282
era,late_2022_2024,736,0.5271224146147911,0.16112138220163683,0.0011196699728167354,TRUE,0.7029864310098282
