tier,trajectory,n,mean_post_signing_toi_change,median_post_signing_toi_change,sd_post_signing_toi_change,iqr_post_signing_toi_change,mean_post_signing_points_change,median_post_signing_points_change,sd_post_signing_points_change,iqr_post_signing_points_change,n_with_trend,mean_walk_year_trend_delta,median_walk_year_trend_delta,sd_walk_year_trend_delta,share_spike_above_trend,share_on_trend,share_below_trend
fringe,insufficient_history,281,1.8622669907407408,1.3251770833333332,2.7474448470001316,3.3241049999999994,0.02932241542621014,0.041930500381204584,0.30620203700867393,0.20589503986520624,0,NA,NA,NA,0,0,0
middle,insufficient_history,210,0.2694051179808841,0.44639375000000214,2.4043478091200656,3.586045138888889,0.039629755508672516,0.04429189152360902,0.21696743398289212,0.22802151658715128,0,NA,NA,NA,0,0,0
top,rising,203,-0.21869988895057124,-0.12577333333333485,1.583839086682282,2.1190733333333327,-0.001493909573905125,-0.0046292056138959,0.17389838504184257,0.24794186909775462,203,-1.6940217679251581,-1.413138888886813,2.559582993886479,0.17733990147783252,0.10344827586206896,0.7192118226600985
middle,rising,188,0.1281339361952862,0.19231999999999871,2.2149401247308718,2.6698883333333328,0.0033594403212427724,-0.0042311813133658,0.1349451233621285,0.16192639957617883,188,-2.473207956560281,-1.9902233333318673,3.0269856702061206,0.11702127659574468,0.0797872340425532,0.8031914893617021
middle,declining,142,-0.2557337769028871,-0.4986566666666637,2.1865283182952546,2.7558158333333296,0.01434277028751344,4.7840047840047584e-4,0.12580335371921736,0.14377660609094595,142,3.4052216373237543,2.9449258333365265,3.9388087515293115,0.8309859154929577,0.06338028169014084,0.1056338028169014
fringe,declining,128,0.867012694730813,0.5952633333333299,2.61316489692184,3.3250483333333385,0.03497593718820401,0.01851851851851851,0.1578211482334247,0.18823670022902514,128,2.5738351931430383,1.898719166667009,3.8876759905867195,0.7734375,0.046875,0.1796875
fringe,rising,109,0.839724193037975,0.833705000000001,2.357392206018029,2.802431666666667,0.005397913281305712,-0.00205152032683678,0.13443719357766076,0.18431362658057573,109,-3.9754159633033948,-3.469038333337574,3.3600556353699194,0.03669724770642202,0.045871559633027525,0.9174311926605505
top,insufficient_history,90,-0.18086792306520272,-0.20775041666666638,2.1108349284036514,2.3256825694444467,-0.007796625619710233,-0.0044487689396091245,0.1935891644284066,0.20870030198624712,0,NA,NA,NA,0,0,0
top,stable,87,-0.575736757162215,-0.45542083333333316,1.6645411065457467,1.9403649305555613,-0.018590751212615268,-0.01587965844648481,0.18058544754202271,0.23096940488144646,87,0.6179587962962549,0.519584999999708,1.788847146252491,0.5287356321839081,0.2413793103448276,0.22988505747126436
top,declining,74,-0.2449581079253295,-0.06168111111111329,1.6514557818195879,2.0715395833333323,-0.017121357167311925,-0.00879429911687976,0.15966368886103685,0.2155433245494733,74,3.4455639677173377,2.5858316666655927,2.8887771153258526,0.918918918918919,0.02702702702702703,0.05405405405405406
middle,stable,69,0.13239888888888848,-0.01614000000000004,1.9252625677210649,2.603047499999999,0.009086834428693688,0.00301834223357327,0.14122876631597317,0.1297172079549841,69,0.33040163848634496,0.13508999999986848,2.064216494908142,0.463768115942029,0.14492753623188406,0.391304347826087
fringe,stable,43,1.110822708333333,1.0678716666666679,2.7269426102599486,2.2731383333333337,0.027700059482171382,0.011406129452282974,0.22783453306996584,0.16299813471174973,43,-1.3336420930233608,-1.2022116666668126,2.2802296790748953,0.23255813953488372,0.09302325581395349,0.6744186046511628
ALL,ALL,1624,0.3559771235961296,0.22384100000000015,2.345932399930714,2.8198008333333284,0.012516098839780315,0.00888888888888883,0.1963576453535481,0.20750447071483957,1043,-0.1486023255565844,-0.3129422222230751,4.000719059736311,0.3107142857142857,0.06642857142857143,0.3678571428571429
